# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
19.04125152488251	p               	-1.33006689e+01	(7.38841544e+00 -5.80575615e-01 -3.60366569e-17)	4.63506356e+00	(4.77291976e-01 4.06193197e-02 -1.36299785e-17)
19.05787191303169	U               	(3.58127979e-01 -1.59970060e+00 -1.24204581e-18)	(6.24061838e+00 8.11450801e-01 0.00000000e+00)	(3.47159472e+00 2.73867284e+00 1.32589579e-18)	(8.53076803e+00 -1.02751614e+00 0.00000000e+00)
19.05787191303169	p               	-1.32013430e+01	(7.40988791e+00 -3.49543152e-01 0.00000000e+00)	4.64573953e+00	(4.67447862e-01 4.06193268e-02 0.00000000e+00)
19.07440784328573	U               	(1.84885263e-01 -1.91505545e+00 -2.25495653e-18)	(6.57083011e+00 3.50651741e-01 -2.99293981e-17)	(3.54864566e+00 2.69414895e+00 6.22833141e-19)	(8.52243237e+00 -1.02751618e+00 8.54625648e-18)
19.07440784328573	p               	-1.31710855e+01	(7.66844075e+00 -5.79939384e-01 0.00000000e+00)	4.65862314e+00	(4.57570931e-01 4.06193192e-02 1.44131393e-17)
19.09086104033149	U               	(1.00900887e-01 -1.72614659e+00 -2.55162517e-18)	(6.53026605e+00 5.82351500e-01 3.02027170e-17)	(5.00450716e+00 1.31524830e+00 2.67979294e-18)	(8.01559855e+00 -1.45589048e+00 -1.85918202e-17)
19.09086104033149	p               	-1.32168923e+01	(7.66002651e+00 -5.79939241e-01 -1.81870487e-17)	4.67456696e+00	(4.47661323e-01 4.06193243e-02 2.80439317e-17)
19.10723315297577	U               	(-1.79881667e-01 -1.43689911e+00 -1.93398681e-18)	(6.78971931e+00 5.81781070e-01 1.84511958e-17)	(4.05348027e+00 1.97746806e+00 1.99825908e-18)	(8.17405167e+00 -1.02860467e+00 0.00000000e+00)
19.10723315297577	p               	-1.31584149e+01	(7.68181735e+00 -3.49146374e-01 0.00000000e+00)	4.68587551e+00	(4.37719845e-01 4.06193155e-02 0.00000000e+00)
19.12352607545994	U               	(2.26381873e-01 -1.79872521e+00 -1.81501070e-18)	(6.51281685e+00 5.82351417e-01 0.00000000e+00)	(3.31059292e+00 2.77550229e+00 5.98602814e-19)	(8.84284900e+00 -1.02638691e+00 1.50057391e-17)
19.12352607545994	p               	-1.31655445e+01	(7.67309373e+00 -3.49146217e-01 1.64755143e-17)	4.69884929e+00	(4.27746946e-01 4.06193257e-02 0.00000000e+00)
19.13974118660876	U               	(-1.76006029e-01 -1.25085516e+00 -3.68731403e-18)	(7.08024763e+00 3.49927348e-01 -3.68217852e-17)	(3.83444089e+00 2.45955709e+00 1.84527212e-18)	(8.49015268e+00 -1.02751593e+00 0.00000000e+00)
19.13974118660876	p               	-1.31287323e+01	(7.66480031e+00 -3.49146087e-01 -5.24990794e-17)	4.70810248e+00	(4.17744204e-01 4.06193164e-02 0.00000000e+00)
19.15587994068976	U               	(1.67935116e-03 -1.62023172e+00 -7.45584242e-19)	(6.76268397e+00 5.81781466e-01 0.00000000e+00)	(3.96526117e+00 2.39260566e+00 9.33364634e-19)	(8.75298609e+00 -1.24335145e+00 0.00000000e+00)
19.15587994068976	p               	-1.30613783e+01	(7.65583418e+00 -3.49146027e-01 0.00000000e+00)	4.71925773e+00	(4.07711376e-01 4.06193288e-02 0.00000000e+00)
19.17194396293096	U               	(6.16426275e-02 -1.66963452e+00 -1.92464720e-18)	(6.75453941e+00 5.81781306e-01 0.00000000e+00)	(3.46025622e+00 2.41534948e+00 1.27220978e-18)	(9.10359770e+00 -1.24210156e+00 0.00000000e+00)
19.17194396293096	p               	-1.29812351e+01	(7.64784599e+00 -3.49146037e-01 0.00000000e+00)	4.73193216e+00	(3.97650228e-01 4.06193152e-02 0.00000000e+00)
19.18793467146505	U               	(-1.84382492e-02 -1.52751079e+00 -2.24633298e-18)	(7.05357602e+00 3.49927168e-01 3.67893947e-17)	(3.32099438e+00 2.53031549e+00 2.40973109e-18)	(8.52480586e+00 -8.04868281e-01 2.43570359e-17)
19.18793467146505	p               	-1.29085577e+01	(7.63878043e+00 -3.49145969e-01 -2.62251078e-17)	4.74728635e+00	(3.87560036e-01 4.06193277e-02 7.82784545e-19)
19.20385359113458	U               	(2.76443837e-01 -1.10284374e+00 -2.61313188e-18)	(7.34625145e+00 1.16698818e-01 0.00000000e+00)	(3.62004688e+00 2.41405734e+00 1.15716467e-18)	(9.08741085e+00 -1.24210146e+00 1.63750905e-17)
19.20385359113458	p               	-1.29738685e+01	(7.93912793e+00 -3.48734330e-01 0.00000000e+00)	4.76311732e+00	(3.77442741e-01 4.06193144e-02 -2.80468936e-17)
19.21970188587256	U               	(-1.07338655e-01 -1.48464047e+00 -2.83317294e-18)	(7.00515488e+00 5.81189953e-01 0.00000000e+00)	(4.66505562e+00 1.70594432e+00 2.85316796e-18)	(8.37373768e+00 -1.24455623e+00 -1.59063206e-17)
19.21970188587256	p               	-1.29298811e+01	(7.93010771e+00 -3.48734241e-01 1.74337568e-17)	4.77147876e+00	(3.67297710e-01 4.06193270e-02 0.00000000e+00)
19.23548114476142	U               	(3.56502103e-01 -1.33375488e+00 -2.28555042e-18)	(7.32872087e+00 1.16698820e-01 0.00000000e+00)	(3.47779508e+00 2.25677410e+00 3.18667885e-18)	(8.50007957e+00 -8.04868211e-01 0.00000000e+00)
19.23548114476142	p               	-1.29177304e+01	(7.92198596e+00 -3.48734284e-01 5.07528148e-17)	4.78184142e+00	(3.57126776e-01 4.06193139e-02 1.44152896e-17)
19.25119254916288	U               	(2.04347505e-01 -1.81540058e+00 -6.77050372e-19)	(7.01818793e+00 3.49927116e-01 -3.67449397e-17)	(3.25207293e+00 2.29629252e+00 6.68530431e-19)	(9.43457689e+00 -1.24080487e+00 0.00000000e+00)
19.25119254916288	p               	-1.29045094e+01	(7.91293875e+00 -3.48734191e-01 1.74236633e-17)	4.79473454e+00	(3.46929208e-01 4.06193267e-02 -1.44153789e-17)
19.26683759486961	U               	(2.60205571e-01 -1.87213263e+00 -3.61580799e-18)	(7.00978123e+00 3.49927091e-01 -2.79368099e-17)	(4.25940680e+00 1.76727073e+00 9.63282823e-19)	(8.42348205e+00 -1.02751554e+00 1.54938381e-17)
19.26683759486961	p               	-1.28414111e+01	(7.90469926e+00 -3.48734246e-01 0.00000000e+00)	4.80580634e+00	(3.36706835e-01 4.06193136e-02 2.80486523e-17)
19.28241739960777	U               	(4.83892190e-01 -1.63650464e+00 -2.03713636e-18)	(7.30158180e+00 1.16698806e-01 1.84653774e-17)	(4.00392678e+00 2.37337380e+00 1.28129368e-18)	(8.76029747e+00 -1.02638640e+00 2.39792726e-17)
19.28241739960777	p               	-1.27688304e+01	(7.89554737e+00 -3.48734155e-01 5.14691143e-17)	4.81732031e+00	(3.26458886e-01 4.06193263e-02 0.00000000e+00)
19.2979333319943	U               	(1.77836305e-01 -1.51146659e+00 -1.64826533e-18)	(6.91318874e+00 8.09204803e-01 1.95779218e-17)	(4.07182835e+00 2.33371960e+00 9.30641387e-19)	(9.03791686e+00 -1.24210123e+00 -1.71171584e-17)
19.2979333319943	p               	-1.26646578e+01	(7.88722575e+00 -3.48734211e-01 3.32795696e-17)	4.83171932e+00	(3.16187217e-01 4.06193133e-02 0.00000000e+00)
19.31338648596957	U               	(-1.07891562e-01 -1.44997624e+00 -2.43949810e-18)	(7.23980126e+00 5.80576496e-01 -1.86928439e-17)	(4.56869051e+00 1.26141508e+00 1.69955703e-18)	(8.73035114e+00 -1.84847134e+00 0.00000000e+00)
19.31338648596957	p               	-1.26976889e+01	(8.19827207e+00 -3.48307131e-01 1.53312388e-17)	4.84129044e+00	(3.05890980e-01 4.06193249e-02 1.44161909e-17)
19.32877811585123	U               	(-7.84377978e-02 -1.31801994e+00 -2.90655176e-18)	(7.18406061e+00 8.08400010e-01 0.00000000e+00)	(3.52189467e+00 2.44788993e+00 2.66070565e-19)	(8.79369748e+00 -8.03901704e-01 -1.46572294e-17)
19.32877811585123	p               	-1.26366760e+01	(8.18981377e+00 -3.48307108e-01 -3.21973920e-17)	4.85214662e+00	(2.95571595e-01 4.06193156e-02 0.00000000e+00)
19.34410929150798	U               	(2.31975034e-01 -1.77394812e+00 -2.04066944e-18)	(7.25206421e+00 3.49544478e-01 0.00000000e+00)	(3.25396060e+00 2.85902644e+00 1.20207003e-18)	(9.14232221e+00 -8.02899325e-01 0.00000000e+00)
19.34410929150798	p               	-1.26486758e+01	(8.18070042e+00 -3.48307073e-01 3.21843804e-17)	4.86460825e+00	(2.85229060e-01 4.06193264e-02 0.00000000e+00)
19.3593811834774	U               	(4.96433807e-01 -1.38446807e+00 -1.26951001e-18)	(6.81199882e+00 1.03258215e+00 0.00000000e+00)	(4.32707894e+00 2.20694599e+00 6.55816891e-19)	(9.00374271e+00 -1.24210104e+00 8.93423516e-18)
19.3593811834774	p               	-1.26408925e+01	(8.17203629e+00 -3.48307087e-01 0.00000000e+00)	4.87394793e+00	(2.74864698e-01 4.06193150e-02 1.44166329e-17)
19.37459490870225	U               	(1.26345564e-01 -1.67648593e+00 -2.93376204e-18)	(7.20366839e+00 5.80576275e-01 -2.72360974e-17)	(4.09422863e+00 2.01512911e+00 4.10873932e-19)	(9.28335458e+00 -1.45109920e+00 7.35108106e-18)
19.37459490870225	p               	-1.25960009e+01	(8.16323730e+00 -3.48307221e-01 1.68531262e-17)	4.88502911e+00	(2.64478091e-01 4.06193249e-02 0.00000000e+00)
19.3897516288061	U               	(1.47194921e-01 -1.49978673e+00 -1.82449118e-18)	(7.14791830e+00 8.08399666e-01 0.00000000e+00)	(4.00067866e+00 2.44882041e+00 5.28970563e-19)	(9.05936057e+00 -1.02521512e+00 3.03804547e-17)
19.3897516288061	p               	-1.25264027e+01	(8.15478566e+00 -3.48307173e-01 2.45055638e-17)	4.89329031e+00	(2.54071542e-01 4.06193118e-02 -1.44175265e-17)
19.40485255274002	U               	(2.04893707e-01 -1.53523101e+00 -1.26184376e-18)	(7.13818273e+00 8.08399602e-01 1.17758356e-17)	(3.35464329e+00 2.21918107e+00 3.20226516e-19)	(9.73764706e+00 -1.23945993e+00 -2.90840625e-17)
19.40485255274002	p               	-1.24530882e+01	(8.14544551e+00 -3.48307235e-01 -1.68431765e-17)	4.90376301e+00	(2.43642025e-01 4.06193126e-02 -1.28520729e-17)
19.41989829438213	U               	(2.62191947e-01 -1.56723113e+00 -2.31260572e-18)	(7.12894324e+00 8.08399670e-01 3.62976837e-17)	(4.10517418e+00 2.34069733e+00 1.28271277e-18)	(9.04179141e+00 -1.02521503e+00 0.00000000e+00)
19.41989829438213	p               	-1.23702902e+01	(8.13649278e+00 -3.48307181e-01 -1.52979208e-17)	4.91544298e+00	(2.33191487e-01 4.06193112e-02 -1.44175781e-17)
19.43489016494088	U               	(3.18281593e-01 -1.59617242e+00 -8.05551305e-19)	(7.11900462e+00 8.08399583e-01 0.00000000e+00)	(4.10047879e+00 2.30228460e+00 1.82364100e-18)	(9.33361011e+00 -1.24080451e+00 -1.42527321e-17)
19.43489016494088	p               	-1.23635202e+01	(8.45955239e+00 -3.47864304e-01 0.00000000e+00)	4.92602950e+00	(2.22721099e-01 4.06193161e-02 0.00000000e+00)
19.44982914345146	U               	(5.20254320e-02 -1.58653256e+00 -1.16283140e-18)	(7.45720387e+00 5.79939778e-01 3.45922657e-17)	(3.55706099e+00 2.26262551e+00 6.42218319e-19)	(9.71225977e+00 -1.23945982e+00 2.98265722e-17)
19.44982914345146	p               	-1.23015876e+01	(8.45115761e+00 -3.47864363e-01 0.00000000e+00)	4.93469462e+00	(2.12231343e-01 4.06193162e-02 0.00000000e+00)
19.46471643178529	U               	(1.09868060e-01 -1.64190047e+00 -3.05113818e-18)	(7.44764264e+00 5.79939698e-01 -1.80598749e-17)	(3.30943711e+00 2.55649037e+00 2.75297854e-19)	(9.77333275e+00 -1.02274028e+00 -1.42019632e-17)
19.46471643178529	p               	-1.23124845e+01	(8.44197604e+00 -3.47864372e-01 3.84662319e-17)	4.94673796e+00	(2.01721460e-01 4.06193177e-02 -2.80535731e-17)
19.47955260495603	U               	(4.13336370e-01 -1.89048364e+00 -2.75926274e-18)	(7.46889363e+00 3.49147162e-01 1.78973516e-17)	(3.89482099e+00 2.54735427e+00 2.17419273e-18)	(9.37956543e+00 -1.02400022e+00 -2.23906298e-17)
19.47955260495603	p               	-1.22989160e+01	(8.43354999e+00 -3.47864270e-01 4.58376085e-17)	4.95789367e+00	(1.91192286e-01 4.06193190e-02 0.00000000e+00)
19.49433897970218	U               	(1.57139311e-01 -1.51938798e+00 -5.33900270e-19)	(7.38273687e+00 8.07564578e-01 2.66790408e-17)	(3.75020601e+00 2.26384351e+00 7.92896255e-19)	(9.05603126e+00 -8.02899225e-01 -2.27088695e-17)
19.49433897970218	p               	-1.22659164e+01	(8.42429385e+00 -3.47864263e-01 0.00000000e+00)	4.96749682e+00	(1.80644692e-01 4.06193207e-02 0.00000000e+00)
19.50907641694343	U               	(6.33184706e-01 -1.93462196e+00 -1.34195466e-18)	(7.12029714e+00 5.80575877e-01 0.00000000e+00)	(4.34508081e+00 1.92181363e+00 2.38275025e-18)	(8.98963765e+00 -1.02521488e+00 3.03055651e-17)
19.50907641694343	p               	-1.22024365e+01	(8.41566519e+00 -3.47864174e-01 -2.36775663e-17)	4.97512754e+00	(1.70077998e-01 4.06193197e-02 0.00000000e+00)
19.5237648058742	U               	(3.31580160e-01 -1.36042034e+00 -1.37730218e-18)	(7.30148636e+00 1.03066573e+00 0.00000000e+00)	(3.56028414e+00 2.58914336e+00 6.64187474e-19)	(9.73953039e+00 -1.02274009e+00 0.00000000e+00)
19.5237648058742	p               	-1.21329650e+01	(8.40647345e+00 -3.47864194e-01 0.00000000e+00)	4.98508038e+00	(1.59494364e-01 4.06193214e-02 1.36361426e-17)
19.53840481226587	U               	(-7.21843741e-02 -1.33822782e+00 -1.67565863e-18)	(7.66697674e+00 8.06698599e-01 -1.77172333e-17)	(3.61984081e+00 2.58945805e+00 2.48615745e-19)	(9.73112467e+00 -1.02274008e+00 -1.34114762e-17)
19.53840481226587	p               	-1.20460169e+01	(8.39765615e+00 -3.47864216e-01 0.00000000e+00)	4.99504377e+00	(1.48893010e-01 4.06193191e-02 0.00000000e+00)
19.55299732257135	U               	(3.63213852e-02 -1.19914783e+00 -1.31032583e-18)	(7.59553787e+00 1.02965393e+00 -3.45489264e-17)	(3.67813807e+00 2.58637841e+00 7.85755067e-19)	(9.72241199e+00 -1.02274002e+00 2.75840926e-17)
19.55299732257135	p               	-1.20247490e+01	(8.38843605e+00 -3.47864146e-01 0.00000000e+00)	5.00275073e+00	(1.38275665e-01 4.06193217e-02 0.00000000e+00)
19.56754325789099	U               	(1.38799148e-01 -1.63977866e+00 -2.31097949e-18)	(7.69459615e+00 5.79279850e-01 -3.33940646e-17)	(3.68000221e+00 2.57019791e+00 1.20280502e-18)	(9.38463000e+00 -8.01859445e-01 0.00000000e+00)
19.56754325789099	p               	-1.19181038e+01	(8.72537883e+00 -3.47404726e-01 0.00000000e+00)	5.00961645e+00	(1.27641400e-01 4.06193192e-02 0.00000000e+00)
19.5820435185232	U               	(9.23047857e-02 -1.48871642e+00 -2.63844029e-18)	(7.63910298e+00 8.06698630e-01 1.77011995e-17)	(3.79046760e+00 2.56921059e+00 7.65742101e-19)	(9.70545979e+00 -1.02273993e+00 0.00000000e+00)
19.5820435185232	p               	-1.19334565e+01	(8.71626877e+00 -3.47404668e-01 -5.29271213e-17)	5.02134436e+00	(1.16991318e-01 4.06193215e-02 -2.64906838e-17)
19.59649909450656	U               	(5.88687075e-01 -1.45730336e+00 -1.12928893e-18)	(7.25488605e+00 1.03066557e+00 1.86162951e-17)	(4.60419874e+00 1.88897843e+00 1.05723714e-18)	(9.23881778e+00 -1.24080416e+00 0.00000000e+00)
19.59649909450656	p               	-1.19340436e+01	(8.71971939e+00 -1.15971904e-01 0.00000000e+00)	5.03104176e+00	(1.06325052e-01 4.06193185e-02 0.00000000e+00)
19.61091081827453	U               	(3.04131626e-01 -1.78349936e+00 -1.38702745e-18)	(7.66619232e+00 5.79279836e-01 1.74525647e-17)	(3.79941211e+00 2.37331449e+00 7.46123455e-19)	(9.35803490e+00 -8.01859324e-01 0.00000000e+00)
19.61091081827453	p               	-1.19350723e+01	(8.71052056e+00 -1.15971888e-01 1.57167004e-17)	5.04079686e+00	(9.56436317e-02 4.06193215e-02 0.00000000e+00)
19.62527973482148	U               	(3.02650579e-01 -1.37770972e+00 -1.81404280e-18)	(7.54950905e+00 1.02965388e+00 -3.45015722e-17)	(3.83429180e+00 2.30060125e+00 1.28533931e-18)	(9.34959265e+00 -8.01859302e-01 0.00000000e+00)
19.62527973482148	p               	-1.19172233e+01	(8.70195143e+00 -1.15971829e-01 0.00000000e+00)	5.05053774e+00	(8.49460135e-02 4.06193220e-02 0.00000000e+00)
19.63960663932444	U               	(4.90328529e-01 -1.19194262e+00 -4.71394649e-19)	(7.46198155e+00 1.24683786e+00 1.84549750e-17)	(4.35420169e+00 1.97323473e+00 1.32480752e-18)	(9.28355818e+00 -1.02399977e+00 0.00000000e+00)
19.63960663932444	p               	-1.18758102e+01	(8.69253796e+00 -1.15971808e-01 0.00000000e+00)	5.05523343e+00	(7.42337036e-02 4.06193256e-02 0.00000000e+00)
19.65389238642164	U               	(4.56028731e-01 -1.69204558e+00 -1.52062269e-18)	(7.99048331e+00 3.48308416e-01 1.67621677e-17)	(3.59962688e+00 2.72183991e+00 8.94869980e-19)	(9.71755154e+00 -8.00780870e-01 0.00000000e+00)
19.65389238642164	p               	-1.18274786e+01	(8.68337448e+00 -1.15971797e-01 -7.08181485e-18)	5.06539501e+00	(6.35056977e-02 4.06193220e-02 1.44202572e-17)
19.66813769336652	U               	(1.42984077e-02 -1.43370170e+00 -1.52951350e-18)	(7.90659052e+00 8.05800410e-01 0.00000000e+00)	(3.57817274e+00 2.53505698e+00 7.95750065e-19)	(1.00541108e+01 -1.02143287e+00 0.00000000e+00)
19.66813769336652	p               	-1.17824111e+01	(8.67422984e+00 -1.15971867e-01 2.98582768e-17)	5.07394487e+00	(5.27633505e-02 4.06193182e-02 -1.36376628e-17)
19.6823434871648	U               	(5.09883345e-01 -1.46602015e+00 -1.53088907e-18)	(7.51173441e+00 1.02965382e+00 3.44672016e-17)	(4.42009572e+00 2.08856977e+00 1.17361928e-18)	(9.57425860e+00 -1.23945926e+00 -1.44607249e-17)
19.6823434871648	p               	-1.17339259e+01	(8.66537601e+00 -1.15971802e-01 0.00000000e+00)	5.07760958e+00	(4.20061566e-02 4.06193173e-02 1.56556858e-18)
19.69651057382133	U               	(2.64759093e-01 -1.72314792e+00 -1.22528654e-18)	(7.93316165e+00 5.78595360e-01 0.00000000e+00)	(3.36092490e+00 2.05952312e+00 1.40612065e-18)	(9.34686092e+00 -5.75591538e-01 1.33921257e-17)
19.69651057382133	p               	-1.16187481e+01	(9.01458098e+00 -1.15810269e-01 -1.52201087e-17)	5.08729871e+00	(3.12351065e-02 4.06193155e-02 2.57106716e-17)
19.71063979212765	U               	(2.01750702e-01 -1.35962432e+00 -9.82430092e-19)	(7.81790985e+00 1.02860423e+00 7.94441666e-18)	(3.73351437e+00 2.53846174e+00 6.61146415e-19)	(1.00282129e+01 -1.02143280e+00 -1.44475936e-17)
19.71063979212765	p               	-1.16577459e+01	(9.00593868e+00 -1.15810261e-01 -1.44459271e-17)	5.09472127e+00	(2.04492500e-02 4.06193173e-02 1.44210591e-17)
19.72473201470689	U               	(4.22105320e-02 -1.32866370e+00 -1.62316405e-18)	(8.24921829e+00 5.77885304e-01 -1.48216478e-17)	(3.41467448e+00 2.78741775e+00 4.39202822e-19)	(1.00738987e+01 -7.99662200e-01 -2.68785881e-17)
19.72473201470689	p               	-1.16945784e+01	(8.99624646e+00 -1.15810200e-01 -2.88782059e-17)	5.10201844e+00	(9.64912797e-03 4.06193309e-02 0.00000000e+00)
19.73878791738454	U               	(3.09833486e-01 -1.42090525e+00 -9.20319652e-19)	(7.79899753e+00 1.02860414e+00 -2.53607174e-17)	(4.68229730e+00 1.61365080e+00 1.22387021e-18)	(9.45532128e+00 -1.44978714e+00 2.26545120e-17)
19.73878791738454	p               	-1.16805494e+01	(8.98780813e+00 -1.15810214e-01 0.00000000e+00)	5.11090841e+00	(-1.16441368e-03 4.06193257e-02 -2.64946685e-17)
19.75280828015888	U               	(1.37532508e-01 -1.47951758e+00 -7.74792363e-19)	(8.23059392e+00 5.77885211e-01 0.00000000e+00)	(4.04157392e+00 1.48794291e+00 2.81972465e-18)	(9.26869279e+00 -8.01858936e-01 -1.50991090e-17)
19.75280828015888	p               	-1.16654929e+01	(8.97816373e+00 -1.15810181e-01 0.00000000e+00)	5.11940334e+00	(-1.19925486e-02 4.06193320e-02 -1.44215422e-17)
19.76679370304779	U               	(-1.08691084e-02 -1.39674261e+00 -1.34093773e-18)	(8.17715123e+00 8.04868490e-01 0.00000000e+00)	(4.48755156e+00 1.20260345e+00 2.58812274e-18)	(9.20286668e+00 -1.02399946e+00 0.00000000e+00)
19.76679370304779	p               	-1.16194868e+01	(8.96938745e+00 -1.15810196e-01 1.44279448e-17)	5.12306377e+00	(-2.28337492e-02 4.06193237e-02 2.64951268e-17)
19.78074512769333	U               	(1.62536161e+00 -1.32841107e+00 -1.07163060e-18)	(1.50993411e+01 2.21697757e+00 6.16923816e-17)	(4.71732195e+00 1.44884237e+00 1.18008509e-18)	(9.42810481e+00 -1.44978699e+00 0.00000000e+00)
19.78074512769333	p               	-1.15714682e+01	(8.95999246e+00 -1.15810175e-01 1.36527287e-17)	5.13179759e+00	(-3.36886572e-02 4.06193318e-02 0.00000000e+00)
19.79466325176359	U               	(5.17824318e-01 -1.50763308e+00 -3.55245053e-19)	(7.76108491e+00 1.02860394e+00 0.00000000e+00)	(3.15289863e+00 2.91028714e+00 1.32553874e-18)	(1.00710750e+01 -5.73917338e-01 -1.40261953e-17)
19.79466325176359	p               	-1.15166250e+01	(8.95120371e+00 -1.15810233e-01 1.54143046e-18)	5.14204958e+00	(-4.45563662e-02 4.06193231e-02 1.44222055e-17)
19.80854866107301	U               	(5.68692214e-01 -1.52254248e+00 -2.17210424e-18)	(7.75136328e+00 1.02860403e+00 3.32520666e-17)	(3.51868483e+00 2.47315958e+00 6.99133465e-19)	(1.03834326e+01 -1.02007702e+00 -1.32107471e-17)
19.80854866107301	p               	-1.14547771e+01	(8.94190003e+00 -1.15810212e-01 1.44159233e-17)	5.14825211e+00	(-5.54378982e-02 4.06193297e-02 0.00000000e+00)
19.82240216280789	U               	(1.91528745e-01 -1.39632718e+00 -2.57111439e-18)	(8.08001751e+00 1.02751541e+00 0.00000000e+00)	(3.51318632e+00 1.08255398e+00 1.56622743e-18)	(9.26645226e+00 -5.75591395e-01 -2.90234759e-17)
19.82240216280789	p               	-1.14149515e+01	(8.93325020e+00 -1.15810203e-01 1.51837332e-17)	5.15715152e+00	(-6.63319158e-02 4.06193235e-02 2.80623235e-17)
19.83622438349955	U               	(2.46468819e-01 -1.43019086e+00 -1.00047759e-18)	(8.06935471e+00 1.02751542e+00 1.68456245e-17)	(4.47974484e+00 1.47916153e+00 7.52640790e-19)	(9.70272119e+00 -1.65143323e+00 0.00000000e+00)
19.83622438349955	p               	-1.13048510e+01	(9.29575565e+00 -1.15642549e-01 1.39524829e-17)	5.15876524e+00	(-7.72391605e-02 4.06193340e-02 1.52054806e-17)
19.85001599549289	U               	(2.99128925e-01 -1.45977409e+00 -1.45692458e-18)	(8.06068728e+00 1.02751531e+00 -7.65002834e-18)	(3.66069592e+00 2.49114009e+00 7.50923055e-19)	(1.03573083e+01 -1.02007690e+00 -1.47399065e-17)
19.85001599549289	p               	-1.13237415e+01	(9.28726087e+00 -1.15642617e-01 0.00000000e+00)	5.16534838e+00	(-8.81587396e-02 4.06193259e-02 -2.64976004e-17)
19.86377774869591	U               	(7.64767900e-01 -1.55903043e+00 -8.45181130e-19)	(7.71263786e+00 1.02860379e+00 0.00000000e+00)	(4.18305632e+00 2.24854058e+00 1.48602620e-18)	(9.93087029e+00 -1.02143244e+00 -1.36315216e-17)
19.86377774869591	p               	-1.13460517e+01	(9.27772956e+00 -1.15642530e-01 1.39440964e-17)	5.17257384e+00	(-9.90919358e-02 4.06193287e-02 1.28573336e-17)
19.87751010799034	U               	(1.62864910e-02 -1.38244316e+00 -2.40316864e-18)	(8.45104333e+00 8.03902022e-01 0.00000000e+00)	(3.75021848e+00 2.48671487e+00 5.87247051e-19)	(1.03398440e+01 -1.02007684e+00 0.00000000e+00)
19.87751010799034	p               	-1.13457833e+01	(9.26905988e+00 -1.15642569e-01 0.00000000e+00)	5.17937287e+00	(-1.10036437e-01 4.06193223e-02 1.36404331e-17)
19.89121395318903	U               	(1.08508421e-02 -1.28611826e+00 -1.32006805e-18)	(8.38234200e+00 1.02638625e+00 0.00000000e+00)	(3.72208679e+00 2.25105960e+00 1.53660726e-18)	(4.79381100e-01 9.39341179e-01 -1.35889751e-17)
19.89121395318903	p               	-1.13145664e+01	(9.26000437e+00 -1.15642519e-01 2.78734066e-17)	5.18179654e+00	(-1.20994323e-01 4.06193273e-02 0.00000000e+00)
19.90488976932999	U               	(1.00816508e+00 -2.02897029e+00 -9.82039700e-19)	(7.79165962e+00 5.78594915e-01 0.00000000e+00)	(3.52874556e+00 2.72091713e+00 7.14500847e-19)	(1.03765780e+01 -7.98501782e-01 2.51622997e-17)
19.90488976932999	p               	-1.12765202e+01	(9.25132932e+00 -1.15642531e-01 0.00000000e+00)	5.18866449e+00	(-1.31963597e-01 4.06193216e-02 -4.01391612e-17)
19.91853832396641	U               	(1.13025709e-01 -1.37738090e+00 -8.35287159e-19)	(8.36402463e+00 1.02638619e+00 -2.36697700e-17)	(3.30214700e+00 2.35365134e+00 6.94534618e-19)	(1.07471485e+01 -1.01867080e+00 7.70345606e-19)
19.91853832396641	p               	-1.12222050e+01	(9.24222980e+00 -1.15642553e-01 2.70847821e-17)	5.19961670e+00	(-1.42945755e-01 4.06193269e-02 -1.36406396e-17)
19.93216007739049	U               	(6.78625696e-01 -1.34660384e+00 -9.43066473e-19)	(7.92903122e+00 1.24455540e+00 0.00000000e+00)	(3.48317073e+00 2.39503529e+00 9.50833769e-19)	(9.98332109e+00 -5.73917197e-01 0.00000000e+00)
19.93216007739049	p               	-1.11696789e+01	(9.23343178e+00 -1.15642549e-01 -1.46950885e-17)	5.21083534e+00	(-1.53939096e-01 4.06193212e-02 -1.36409039e-17)
19.94575580313796	U               	(2.75572019e-01 -1.64461610e+00 -2.72109347e-18)	(8.40481508e+00 8.03901871e-01 -2.32272386e-17)	(3.50867745e+00 2.31743396e+00 9.48372849e-19)	(9.97445590e+00 -5.73917211e-01 2.56519829e-17)
19.94575580313796	p               	-1.10824987e+01	(9.22423624e+00 -1.15642564e-01 4.17572508e-17)	5.21477347e+00	(-1.64945098e-01 4.06193266e-02 1.36409051e-17)
19.95932590011816	U               	(3.27659372e-01 -1.68374372e+00 -4.20563395e-18)	(8.39581264e+00 8.03901901e-01 -1.44532711e-17)	(3.68147593e+00 2.63541399e+00 1.66881746e-18)	(1.03421321e+01 -7.98501765e-01 0.00000000e+00)
19.95932590011816	p               	-1.10130835e+01	(9.21538312e+00 -1.15642555e-01 0.00000000e+00)	5.22116717e+00	(-1.75962022e-01 4.06193209e-02 0.00000000e+00)
19.97287112211849	U               	(3.22665550e-01 -1.51766718e+00 -1.98708493e-18)	(8.32681969e+00 1.02638610e+00 1.47321399e-17)	(3.29852039e+00 2.82052721e+00 4.98328126e-19)	(1.03733047e+01 -5.73033094e-01 3.75954566e-17)
