# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.44646         	3.71541035e+00	2.39508259e-18	-4.87421638e-02	1.06272187e-18	2.94286893e-02	1.41999157e-18	1.85770518e+00	1.85770518e+00	2.61753286e-18	-2.22450273e-19	5.05760734e-03	-5.37997712e-02
0.465048        	3.60412288e+00	-2.60159344e-19	-4.47716327e-02	-8.49561871e-19	2.95326504e-02	-8.59013818e-19	1.80206144e+00	1.80206144e+00	-9.89093491e-19	7.28934146e-19	7.14683404e-03	-5.19184668e-02
0.483765        	3.50205641e+00	5.47963795e-19	-4.24545595e-02	7.63253005e-19	3.02357762e-02	3.41176562e-19	1.75102820e+00	1.75102820e+00	6.15158460e-19	-6.71946651e-20	9.00849642e-03	-5.14630559e-02
0.502612        	3.40479623e+00	1.99904965e-18	-3.76836556e-02	7.28428848e-19	2.98320812e-02	1.17064004e-18	1.70239811e+00	1.70239811e+00	2.17016487e-18	-1.71115215e-19	1.09902534e-02	-4.86739089e-02
0.52159         	3.31270161e+00	1.29795896e-18	-4.62084391e-02	-1.02755493e-18	3.54616137e-02	4.99888041e-19	1.65635081e+00	1.65635081e+00	1.14886752e-18	1.49091440e-19	1.23573942e-02	-5.85658332e-02
0.540696        	3.22726454e+00	-2.66269344e-19	-3.97630011e-02	-1.08968909e-19	3.42297593e-02	-2.51314291e-19	1.61363227e+00	1.61363227e+00	-3.84448963e-19	1.18179619e-19	1.43482587e-02	-5.41112599e-02
0.55993         	3.14783406e+00	8.30422417e-19	-2.79702292e-02	1.25568285e-18	3.01024718e-02	7.10211863e-19	1.57391703e+00	1.57391703e+00	1.12542307e-18	-2.95000654e-19	1.61173572e-02	-4.40875864e-02
0.579293        	3.07286451e+00	7.29788615e-19	-3.03616826e-02	1.15000868e-19	3.29157749e-02	5.01376016e-19	1.53643226e+00	1.53643226e+00	8.66270324e-19	-1.36481709e-19	1.77349336e-02	-4.80966163e-02
0.598786        	3.00136677e+00	5.10708495e-19	-2.87073808e-02	2.18807195e-19	3.36727574e-02	3.75407021e-19	1.50068338e+00	1.50068338e+00	6.30761268e-19	-1.20052774e-19	1.93190670e-02	-4.80264478e-02
0.618413        	2.93422411e+00	4.96353627e-19	-2.71013584e-02	-2.52702153e-19	3.44496694e-02	3.52065796e-19	1.46711205e+00	1.46711205e+00	6.00242609e-19	-1.03888982e-19	2.08989902e-02	-4.80003486e-02
0.638176        	2.86954236e+00	6.36807320e-19	-2.76207972e-02	8.95697592e-19	3.63773061e-02	6.01269112e-19	1.43477118e+00	1.43477118e+00	9.19672771e-19	-2.82865452e-19	2.25669075e-02	-5.01877048e-02
0.658078        	2.80824644e+00	3.43671526e-19	-2.44286282e-02	3.41722542e-19	3.62334308e-02	6.49182671e-20	1.40412322e+00	1.40412322e+00	2.36754030e-19	1.06917496e-19	2.40191167e-02	-4.84477449e-02
0.678124        	2.74951792e+00	3.57195010e-19	-2.21543082e-02	3.90812753e-19	3.65809183e-02	1.30858112e-19	1.37475896e+00	1.37475896e+00	3.09455618e-19	4.77393928e-20	2.55037642e-02	-4.76580724e-02
0.698316        	2.69293562e+00	1.82789177e-19	-1.95113486e-02	5.69504624e-19	3.67275616e-02	6.92269736e-20	1.34646781e+00	1.34646781e+00	1.60621562e-19	2.21676148e-20	2.69718873e-02	-4.64832359e-02
0.718661        	2.63828146e+00	7.01313649e-19	-1.66355496e-02	1.05861650e-18	3.67054623e-02	5.78850527e-19	1.31914073e+00	1.31914073e+00	9.29507351e-19	-2.28193703e-19	2.83876875e-02	-4.50232371e-02
0.739164        	2.58599735e+00	3.16924655e-19	-1.31498195e-02	5.12812047e-19	3.62781369e-02	2.67979659e-19	1.29299868e+00	1.29299868e+00	4.26441987e-19	-1.09517332e-19	2.97032272e-02	-4.28530466e-02
0.759832        	2.53490300e+00	5.81382238e-19	-9.86461277e-03	-5.02951514e-20	3.58914316e-02	5.04891133e-19	1.26745150e+00	1.26745150e+00	7.95582252e-19	-2.14200014e-19	3.09591253e-02	-4.08237380e-02
0.78067         	2.48619631e+00	7.71960444e-19	-5.81995286e-03	-1.51383679e-19	3.50068009e-02	7.93562953e-19	1.24309815e+00	1.24309815e+00	1.17954317e-18	-4.07582731e-19	3.20968245e-02	-3.79167773e-02
0.801688        	2.43814661e+00	5.99163532e-19	-2.88054954e-03	9.24197535e-19	3.47432430e-02	4.51688474e-19	1.21907331e+00	1.21907331e+00	7.51270239e-19	-1.52106708e-19	3.33029682e-02	-3.61835177e-02
0.822892        	2.39183973e+00	6.44832311e-19	9.99019434e-04	1.01693014e-18	3.37590599e-02	5.51846577e-19	1.19591987e+00	1.19591987e+00	8.74262732e-19	-2.29430421e-19	3.42585696e-02	-3.32595501e-02
0.844291        	2.34664174e+00	1.92088482e-19	4.63620292e-03	1.79154944e-18	3.27996173e-02	-1.69144918e-19	1.17332087e+00	1.17332087e+00	-7.31006774e-20	2.65189159e-19	3.51177188e-02	-3.04815159e-02
0.865896        	2.30390119e+00	7.70432457e-19	1.23426757e-02	1.14443792e-18	2.87117220e-02	2.19697698e-19	1.15195059e+00	1.15195059e+00	6.04913926e-19	1.65518531e-19	3.48830598e-02	-2.25403841e-02
0.887716        	2.26112218e+00	3.18192185e-19	2.01800709e-02	1.79329273e-18	2.41809874e-02	3.68722601e-20	1.13056109e+00	1.13056109e+00	1.95968353e-19	1.22223832e-19	3.42710229e-02	-1.40909520e-02
0.909754        	2.22001699e+00	8.12544424e-19	1.36828386e-02	1.23970948e-18	3.07807070e-02	4.66243199e-19	1.11000849e+00	1.11000849e+00	8.72515411e-19	-5.99709875e-20	3.76221263e-02	-2.39392877e-02
0.932022        	2.17959758e+00	6.03529696e-19	2.01253309e-02	1.17879925e-19	2.69536782e-02	6.18120397e-19	1.08979879e+00	1.08979879e+00	9.19885245e-19	-3.16355550e-19	3.70163436e-02	-1.68910127e-02
0.954531        	2.14111072e+00	7.76848078e-19	3.47815569e-02	1.59422888e-19	1.60095623e-02	8.77206643e-19	1.07055536e+00	1.07055536e+00	1.26563068e-18	-4.88782604e-19	3.34003408e-02	1.38121612e-03
0.977293        	2.10367728e+00	-1.74983722e-18	4.00839774e-02	1.15887548e-18	1.24528581e-02	-8.35567568e-19	1.05183864e+00	1.05183864e+00	-1.71048618e-18	-3.93510423e-20	3.24948468e-02	7.58913057e-03
1.00032         	2.06781004e+00	2.52605811e-19	4.42202425e-02	8.76900935e-19	9.73298355e-03	3.02762753e-19	1.03390502e+00	1.03390502e+00	4.29065659e-19	-1.76459848e-19	3.18431048e-02	1.23771377e-02
1.02363         	2.03266010e+00	1.50355673e-18	4.98006222e-02	8.06570874e-19	5.62421828e-03	1.01755307e-18	1.01633005e+00	1.01633005e+00	1.76933143e-18	-2.65774704e-19	3.05245294e-02	1.92760928e-02
1.04723         	1.99933709e+00	1.49901749e-18	5.56173203e-02	8.33397419e-19	1.24737088e-03	1.00406601e-18	9.99668544e-01	9.99668544e-01	1.75357476e-18	-2.54557268e-19	2.90560310e-02	2.65612892e-02
1.07114         	1.96662524e+00	-9.22705427e-19	6.12000084e-02	1.62984704e-18	-3.03567513e-03	-6.55021701e-19	9.83312618e-01	9.83312618e-01	-1.11637441e-18	1.93668988e-19	2.75643291e-02	3.36356793e-02
1.09537         	1.93582201e+00	1.82203756e-18	6.78921265e-02	5.52689078e-19	-8.48248093e-03	1.13586819e-18	9.67911006e-01	9.67911006e-01	2.04688697e-18	-2.24849409e-19	2.54635823e-02	4.24285442e-02
1.11995         	1.90535437e+00	1.79675908e-18	7.47989858e-02	4.99134489e-19	-1.43178198e-02	1.14050752e-18	9.52677187e-01	9.52677187e-01	2.03888707e-18	-2.42127983e-19	2.30816731e-02	5.17173127e-02
1.14489         	1.87718335e+00	1.99225351e-18	8.21285649e-02	5.84223584e-19	-2.07604056e-02	1.51804421e-18	9.38591675e-01	9.38591675e-01	2.51417097e-18	-5.21917458e-19	2.03038769e-02	6.18246881e-02
1.17023         	1.84922710e+00	1.41417454e-18	8.96938808e-02	1.18300981e-19	-2.76699867e-02	1.25899005e-18	9.24613548e-01	9.24613548e-01	1.96607732e-18	-5.51902785e-19	1.71769537e-02	7.25169271e-02
1.19598         	1.82408056e+00	1.26835462e-18	9.72780780e-02	1.19697247e-18	-3.48318349e-02	8.87880138e-19	9.12040279e-01	9.12040279e-01	1.52205745e-18	-2.53702827e-19	1.38072040e-02	8.34708739e-02
1.22218         	1.79942498e+00	1.22281357e-18	1.05063014e-01	1.26332754e-18	-4.24508100e-02	8.81579081e-19	8.99712491e-01	8.99712491e-01	1.49298587e-18	-2.70172294e-19	1.00806971e-02	9.49823171e-02
1.24888         	1.77733420e+00	1.27372689e-18	1.12971441e-01	1.18024708e-19	-5.04982250e-02	9.80283754e-19	8.88667102e-01	8.88667102e-01	1.61714720e-18	-3.43420310e-19	5.98749549e-03	1.06983945e-01
1.2761          	1.75586348e+00	1.32255953e-18	1.21836281e-01	1.23285243e-18	-5.98941762e-02	1.08112598e-18	8.77931739e-01	8.77931739e-01	1.74240574e-18	-4.19846214e-19	1.02396422e-03	1.20812317e-01
1.3039          	1.73835566e+00	9.98352742e-19	1.33010103e-01	-1.28120467e-19	-7.21841864e-02	7.67629598e-19	8.69177832e-01	8.69177832e-01	1.26680597e-18	-2.68453227e-19	-5.67913512e-03	1.38689238e-01
1.33234         	1.72078069e+00	6.41477949e-19	1.45694041e-01	7.93971974e-19	-8.66036357e-02	7.11772179e-19	8.60390347e-01	8.60390347e-01	1.03251115e-18	-3.91033205e-19	-1.37566153e-02	1.59450656e-01
